node_id,industry_id,industry_name
298,135,Public administration and defence; compulsory social security (75)
299,136,Education (80)
300,137,Health and social work (85)
301,138,Incineration of waste: Food
302,139,Incineration of waste: Paper
303,140,Incineration of waste: Plastic
304,141,Incineration of waste: Metals and Inert materials
305,142,Incineration of waste: Textiles
306,143,Incineration of waste: Wood
307,144,Incineration of waste: Oil/Hazardous waste
308,145,"Biogasification of food waste, incl. land application"
309,146,"Biogasification of paper, incl. land application"
310,147,"Biogasification of sewage slugde, incl. land application"
311,148,"Composting of food waste, incl. land application"
312,149,"Composting of paper and wood, incl. land application"
313,150,"Waste water treatment, food"
314,151,"Waste water treatment, other"
315,152,Landfill of waste: Food
316,153,Landfill of waste: Paper
317,154,Landfill of waste: Plastic
318,155,Landfill of waste: Inert/metal/hazardous
319,156,Landfill of waste: Textiles
320,157,Landfill of waste: Wood
321,158,Activities of membership organisation n.e.c. (91)
322,159,"Recreational, cultural and sporting activities (92)"
323,160,Other service activities (93)
324,161,Private households with employed persons (95)
325,162,Extra-territorial organizations and bodies
326,0,Cultivation of paddy rice
327,1,Cultivation of wheat
328,2,Cultivation of cereal grains nec
329,3,"Cultivation of vegetables, fruit, nuts"
330,4,Cultivation of oil seeds
331,5,"Cultivation of sugar cane, sugar beet"
332,6,Cultivation of plant-based fibers
333,7,Cultivation of crops nec
334,8,Cattle farming
335,9,Pigs farming
336,10,Poultry farming
337,11,Meat animals nec
338,12,Animal products nec
339,13,Raw milk
340,14,"Wool, silk-worm cocoons"
341,15,"Manure treatment (conventional), storage and land application"
342,16,"Manure treatment (biogas), storage and land application"
343,17,"Forestry, logging and related service activities (02)"
344,18,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
345,19,Mining of coal and lignite; extraction of peat (10)
346,20,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
347,21,"Extraction of natural gas and services related to natural gas extraction, excluding surveying"
348,22,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
349,23,Mining of uranium and thorium ores (12)
350,24,Mining of iron ores
351,25,Mining of copper ores and concentrates
352,26,Mining of nickel ores and concentrates
353,27,Mining of aluminium ores and concentrates
354,28,Mining of precious metal ores and concentrates
355,29,"Mining of lead, zinc and tin ores and concentrates"
356,30,Mining of other non-ferrous metal ores and concentrates
357,31,Quarrying of stone
358,32,Quarrying of sand and clay
359,33,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
360,34,Processing of meat cattle
361,35,Processing of meat pigs
362,36,Processing of meat poultry
363,37,Production of meat products nec
364,38,Processing vegetable oils and fats
365,39,Processing of dairy products
366,40,Processed rice
367,41,Sugar refining
368,42,Processing of Food products nec
369,43,Manufacture of beverages
370,44,Manufacture of fish products
371,45,Manufacture of tobacco products (16)
372,46,Manufacture of textiles (17)
373,47,Manufacture of wearing apparel; dressing and dyeing of fur (18)
374,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
375,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
376,50,Re-processing of secondary wood material into new wood material
377,51,Pulp
378,52,Re-processing of secondary paper into new pulp
379,53,Paper
380,54,"Publishing, printing and reproduction of recorded media (22)"
381,55,Manufacture of coke oven products
382,56,Petroleum Refinery
383,57,Processing of nuclear fuel
384,58,"Plastics, basic"
385,59,Re-processing of secondary plastic into new plastic
386,60,N-fertiliser
387,61,P- and other fertiliser
388,62,Chemicals nec
389,63,Manufacture of rubber and plastic products (25)
390,64,Manufacture of glass and glass products
391,65,Re-processing of secondary glass into new glass
392,66,Manufacture of ceramic goods
393,67,"Manufacture of bricks, tiles and construction products, in baked clay"
394,68,"Manufacture of cement, lime and plaster"
395,69,Re-processing of ash into clinker
396,70,Manufacture of other non-metallic mineral products n.e.c.
397,71,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
398,72,Re-processing of secondary steel into new steel
399,73,Precious metals production
400,74,Re-processing of secondary preciuos metals into new preciuos metals
401,75,Aluminium production
402,76,Re-processing of secondary aluminium into new aluminium
403,77,"Lead, zinc and tin production"
404,78,"Re-processing of secondary lead into new lead, zinc and tin"
405,79,Copper production
406,80,Re-processing of secondary copper into new copper
407,81,Other non-ferrous metal production
408,82,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
409,83,Casting of metals
410,84,"Manufacture of fabricated metal products, except machinery and equipment (28)"
411,85,Manufacture of machinery and equipment n.e.c. (29)
412,86,Manufacture of office machinery and computers (30)
413,87,Manufacture of electrical machinery and apparatus n.e.c. (31)
414,88,"Manufacture of radio, television and communication equipment and apparatus (32)"
415,89,"Manufacture of medical, precision and optical instruments, watches and clocks (33)"
416,90,"Manufacture of motor vehicles, trailers and semi-trailers (34)"
417,91,Manufacture of other transport equipment (35)
418,92,Manufacture of furniture; manufacturing n.e.c. (36)
419,93,Recycling of waste and scrap
420,94,Recycling of bottles by direct reuse
421,95,Production of electricity by coal
422,96,Production of electricity by gas
423,97,Production of electricity by nuclear
424,98,Production of electricity by hydro
425,99,Production of electricity by wind
426,100,Production of electricity by petroleum and other oil derivatives
427,101,Production of electricity by biomass and waste
428,102,Production of electricity by solar photovoltaic
429,103,Production of electricity by solar thermal
430,104,"Production of electricity by tide, wave, ocean"
431,105,Production of electricity by Geothermal
432,106,Production of electricity nec
433,107,Transmission of electricity
434,108,Distribution and trade of electricity
435,109,Manufacture of gas; distribution of gaseous fuels through mains
436,110,Steam and hot water supply
437,111,"Collection, purification and distribution of water (41)"
438,112,Construction (45)
439,113,Re-processing of secondary construction material into aggregates
440,114,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
441,115,Retail sale of automotive fuel
442,116,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
443,117,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
444,118,Hotels and restaurants (55)
445,119,Transport via railways
446,120,Other land transport
447,121,Transport via pipelines
448,122,Sea and coastal water transport
449,123,Inland water transport
450,124,Air transport (62)
451,125,Supporting and auxiliary transport activities; activities of travel agencies (63)
452,126,Post and telecommunications (64)
453,127,"Financial intermediation, except insurance and pension funding (65)"
454,128,"Insurance and pension funding, except compulsory social security (66)"
455,129,Activities auxiliary to financial intermediation (67)
456,130,Real estate activities (70)
457,131,Renting of machinery and equipment without operator and of personal and household goods (71)
458,132,Computer and related activities (72)
459,133,Research and development (73)
460,134,Other business activities (74)
461,135,Public administration and defence; compulsory social security (75)
462,136,Education (80)
463,137,Health and social work (85)
464,138,Incineration of waste: Food
465,139,Incineration of waste: Paper
466,140,Incineration of waste: Plastic
467,141,Incineration of waste: Metals and Inert materials
468,142,Incineration of waste: Textiles
469,143,Incineration of waste: Wood
470,144,Incineration of waste: Oil/Hazardous waste
471,145,"Biogasification of food waste, incl. land application"
472,146,"Biogasification of paper, incl. land application"
473,147,"Biogasification of sewage slugde, incl. land application"
474,148,"Composting of food waste, incl. land application"
475,149,"Composting of paper and wood, incl. land application"
476,150,"Waste water treatment, food"
477,151,"Waste water treatment, other"
478,152,Landfill of waste: Food
479,153,Landfill of waste: Paper
480,154,Landfill of waste: Plastic
481,155,Landfill of waste: Inert/metal/hazardous
482,156,Landfill of waste: Textiles
483,157,Landfill of waste: Wood
484,158,Activities of membership organisation n.e.c. (91)
485,159,"Recreational, cultural and sporting activities (92)"
486,160,Other service activities (93)
487,161,Private households with employed persons (95)
488,162,Extra-territorial organizations and bodies
489,0,Cultivation of paddy rice
490,1,Cultivation of wheat
491,2,Cultivation of cereal grains nec
492,3,"Cultivation of vegetables, fruit, nuts"
493,4,Cultivation of oil seeds
494,5,"Cultivation of sugar cane, sugar beet"
495,6,Cultivation of plant-based fibers
496,7,Cultivation of crops nec
497,8,Cattle farming
498,9,Pigs farming
499,10,Poultry farming
500,11,Meat animals nec
501,12,Animal products nec
502,13,Raw milk
503,14,"Wool, silk-worm cocoons"
504,15,"Manure treatment (conventional), storage and land application"
505,16,"Manure treatment (biogas), storage and land application"
506,17,"Forestry, logging and related service activities (02)"
507,18,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
508,19,Mining of coal and lignite; extraction of peat (10)
509,20,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
510,21,"Extraction of natural gas and services related to natural gas extraction, excluding surveying"
511,22,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
512,23,Mining of uranium and thorium ores (12)
513,24,Mining of iron ores
514,25,Mining of copper ores and concentrates
515,26,Mining of nickel ores and concentrates
516,27,Mining of aluminium ores and concentrates
517,28,Mining of precious metal ores and concentrates
518,29,"Mining of lead, zinc and tin ores and concentrates"
519,30,Mining of other non-ferrous metal ores and concentrates
520,31,Quarrying of stone
521,32,Quarrying of sand and clay
522,33,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
523,34,Processing of meat cattle
524,35,Processing of meat pigs
525,36,Processing of meat poultry
526,37,Production of meat products nec
527,38,Processing vegetable oils and fats
528,39,Processing of dairy products
529,40,Processed rice
530,41,Sugar refining
531,42,Processing of Food products nec
532,43,Manufacture of beverages
533,44,Manufacture of fish products
534,45,Manufacture of tobacco products (16)
535,46,Manufacture of textiles (17)
536,47,Manufacture of wearing apparel; dressing and dyeing of fur (18)
537,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
538,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
539,50,Re-processing of secondary wood material into new wood material
540,51,Pulp
541,52,Re-processing of secondary paper into new pulp
542,53,Paper
543,54,"Publishing, printing and reproduction of recorded media (22)"
544,55,Manufacture of coke oven products
545,56,Petroleum Refinery
546,57,Processing of nuclear fuel
547,58,"Plastics, basic"
548,59,Re-processing of secondary plastic into new plastic
549,60,N-fertiliser
550,61,P- and other fertiliser
551,62,Chemicals nec
552,63,Manufacture of rubber and plastic products (25)
553,64,Manufacture of glass and glass products
554,65,Re-processing of secondary glass into new glass
555,66,Manufacture of ceramic goods
556,67,"Manufacture of bricks, tiles and construction products, in baked clay"
557,68,"Manufacture of cement, lime and plaster"
558,69,Re-processing of ash into clinker
559,70,Manufacture of other non-metallic mineral products n.e.c.
560,71,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
561,72,Re-processing of secondary steel into new steel
562,73,Precious metals production
563,74,Re-processing of secondary preciuos metals into new preciuos metals
564,75,Aluminium production
565,76,Re-processing of secondary aluminium into new aluminium
566,77,"Lead, zinc and tin production"
567,78,"Re-processing of secondary lead into new lead, zinc and tin"
568,79,Copper production
569,80,Re-processing of secondary copper into new copper
570,81,Other non-ferrous metal production
571,82,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
572,83,Casting of metals
573,84,"Manufacture of fabricated metal products, except machinery and equipment (28)"
574,85,Manufacture of machinery and equipment n.e.c. (29)
575,86,Manufacture of office machinery and computers (30)
576,87,Manufacture of electrical machinery and apparatus n.e.c. (31)
577,88,"Manufacture of radio, television and communication equipment and apparatus (32)"
578,89,"Manufacture of medical, precision and optical instruments, watches and clocks (33)"
579,90,"Manufacture of motor vehicles, trailers and semi-trailers (34)"
580,91,Manufacture of other transport equipment (35)
581,92,Manufacture of furniture; manufacturing n.e.c. (36)
582,93,Recycling of waste and scrap
583,94,Recycling of bottles by direct reuse
584,95,Production of electricity by coal
585,96,Production of electricity by gas
586,97,Production of electricity by nuclear
587,98,Production of electricity by hydro
588,99,Production of electricity by wind
589,100,Production of electricity by petroleum and other oil derivatives
590,101,Production of electricity by biomass and waste
591,102,Production of electricity by solar photovoltaic
592,103,Production of electricity by solar thermal
593,104,"Production of electricity by tide, wave, ocean"
594,105,Production of electricity by Geothermal
595,106,Production of electricity nec
596,107,Transmission of electricity
597,108,Distribution and trade of electricity
598,109,Manufacture of gas; distribution of gaseous fuels through mains
599,110,Steam and hot water supply
600,111,"Collection, purification and distribution of water (41)"
601,112,Construction (45)
602,113,Re-processing of secondary construction material into aggregates
603,114,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
604,115,Retail sale of automotive fuel
