,0
"('AT', 'Incineration of waste: Wood')",4.88251031746
"('AT', 'Incineration of waste: Oil/Hazardous waste')",16.3207723935
"('AT', 'Biogasification of food waste, incl. land application')",2.03030097931
"('AT', 'Biogasification of paper, incl. land application')",0.244636015241
"('AT', 'Biogasification of sewage slugde, incl. land application')",1.47477067096
"('AT', 'Composting of food waste, incl. land application')",66.437506527
"('AT', 'Composting of paper and wood, incl. land application')",0.0410134619484
"('AT', 'Waste water treatment, food')",5.43400418374
"('AT', 'Waste water treatment, other')",10.6892551323
"('AT', 'Landfill of waste: Food')",1.64532741958
"('AT', 'Landfill of waste: Paper')",2.17769694682
"('AT', 'Landfill of waste: Plastic')",0.562699888325
"('AT', 'Landfill of waste: Inert/metal/hazardous')",5.18730659028
"('AT', 'Landfill of waste: Textiles')",0.237377233768
"('AT', 'Landfill of waste: Wood')",1.03109576366
"('AT', 'Activities of membership organisation n.e.c. (91)')",1991.27109362
"('AT', 'Recreational, cultural and sporting activities (92)')",1082.93162308
"('AT', 'Other service activities (93)')",2483.31395483
"('AT', 'Private households with employed persons (95)')",109.804265486
"('AT', 'Extra-territorial organizations and bodies')",0.0
"('BE', 'Cultivation of paddy rice')",0.0
"('BE', 'Cultivation of wheat')",730.946498506
"('BE', 'Cultivation of cereal grains nec')",366.422889015
"('BE', 'Cultivation of vegetables, fruit, nuts')",3716.37415906
"('BE', 'Cultivation of oil seeds')",17.7775818895
"('BE', 'Cultivation of sugar cane, sugar beet')",255.738590504
"('BE', 'Cultivation of plant-based fibers')",14.1765445299
"('BE', 'Cultivation of crops nec')",519.469943171
"('BE', 'Cattle farming')",2093.17115795
"('BE', 'Pigs farming')",2639.58797172
"('BE', 'Poultry farming')",905.202292939
"('BE', 'Meat animals nec')",16.8869427681
"('BE', 'Animal products nec')",7.15897598875
"('BE', 'Raw milk')",1241.85315653
"('BE', 'Wool, silk-worm cocoons')",0.752339349042
"('BE', 'Manure treatment (conventional), storage and land application')",0.0
"('BE', 'Manure treatment (biogas), storage and land application')",0.0
"('BE', 'Forestry, logging and related service activities (02)')",640.268303441
"('BE', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')",308.070526319
"('BE', 'Mining of coal and lignite; extraction of peat (10)')",39.9201324727
"('BE', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')",7.98999165854
"('BE', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')",425.195256151
"('BE', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')",140.291201942
"('BE', 'Mining of uranium and thorium ores (12)')",0.0
"('BE', 'Mining of iron ores')",0.0
"('BE', 'Mining of copper ores and concentrates')",0.0
"('BE', 'Mining of nickel ores and concentrates')",0.0
"('BE', 'Mining of aluminium ores and concentrates')",0.0
"('BE', 'Mining of precious metal ores and concentrates')",0.0
"('BE', 'Mining of lead, zinc and tin ores and concentrates')",0.0
"('BE', 'Mining of other non-ferrous metal ores and concentrates')",16.1105138274
"('BE', 'Quarrying of stone')",3825.95773846
"('BE', 'Quarrying of sand and clay')",8279.72821741
"('BE', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')",4336.3355259
"('BE', 'Processing of meat cattle')",3337.84614205
"('BE', 'Processing of meat pigs')",3713.99152322
"('BE', 'Processing of meat poultry')",1991.7721382
"('BE', 'Production of meat products nec')",81.5952354939
"('BE', 'Processing vegetable oils and fats')",727.015834053
"('BE', 'Processing of dairy products')",12414.9017773
"('BE', 'Processed rice')",256.375437117
"('BE', 'Sugar refining')",955.668349188
"('BE', 'Processing of Food products nec')",29277.5672222
"('BE', 'Manufacture of beverages')",7450.86327903
"('BE', 'Manufacture of fish products')",1331.31855255
"('BE', 'Manufacture of tobacco products (16)')",948.859890275
"('BE', 'Manufacture of textiles (17)')",12803.265203
"('BE', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')",2423.89052273
"('BE', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')",424.390314367
"('BE', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')",9123.66448466
"('BE', 'Re-processing of secondary wood material into new wood material')",0.0
"('BE', 'Pulp')",5588.5034101
"('BE', 'Re-processing of secondary paper into new pulp')",0.0
"('BE', 'Paper')",4332.7167126
"('BE', 'Publishing, printing and reproduction of recorded media (22)')",3715.41597906
"('BE', 'Manufacture of coke oven products')",202.326406913
"('BE', 'Petroleum Refinery')",22701.5512882
"('BE', 'Processing of nuclear fuel')",17.4135684929
"('BE', 'Plastics, basic')",36642.7441191
"('BE', 'Re-processing of secondary plastic into new plastic')",0.0
"('BE', 'N-fertiliser')",43.9414046394
"('BE', 'P- and other fertiliser')",196.06085497
"('BE', 'Chemicals nec')",23659.7487998
"('BE', 'Manufacture of rubber and plastic products (25)')",16228.5326618
"('BE', 'Manufacture of glass and glass products')",2845.0901491
"('BE', 'Re-processing of secondary glass into new glass')",0.0
"('BE', 'Manufacture of ceramic goods')",435.891709192
"('BE', 'Manufacture of bricks, tiles and construction products, in baked clay')",1151.20695412
"('BE', 'Manufacture of cement, lime and plaster')",5763.50206409
"('BE', 'Re-processing of ash into clinker')",0.0
"('BE', 'Manufacture of other non-metallic mineral products n.e.c.')",2042.62180734
"('BE', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')",6188.22559578
"('BE', 'Re-processing of secondary steel into new steel')",2420.81579588
"('BE', 'Precious metals production')",5708.39509111
"('BE', 'Re-processing of secondary preciuos metals into new preciuos metals')",0.0
"('BE', 'Aluminium production')",5340.54173286
"('BE', 'Re-processing of secondary aluminium into new aluminium')",0.0
"('BE', 'Lead, zinc and tin production')",1246.05262835
"('BE', 'Re-processing of secondary lead into new lead, zinc and tin')",0.0
"('BE', 'Copper production')",12657.229027
"('BE', 'Re-processing of secondary copper into new copper')",0.0
"('BE', 'Other non-ferrous metal production')",999.877908299
"('BE', 'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals')",0.0
"('BE', 'Casting of metals')",971.684771888
"('BE', 'Manufacture of fabricated metal products, except machinery and equipment (28)')",19453.0633407
