"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('JP', 'Petroleum Refinery')","0.0041323359845107","0.00257484518558696","0.00356455781155522"
"('JP', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')","0.00290344576474216","0.00288553305318194","5.00820932016612e-05"
"('JP', 'Health and social work (85)')","0.00413039844936925","0.00315710456732681","0.00396747084450888"
"('DE', 'Incineration of waste: Paper')","0.00358204230548498","0.00352743997029699","0.000200086651111808"
"('JP', 'Real estate activities (70)')","0.00300166760882816","0.0019055657841938","0.00299859284892006"
"('WA', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.00384890747001226","0.003557959379663","0.00271499189954222"
"('WA', 'Manufacture of medical, precision and optical instruments, watches and clocks (33)')","0.000319032289105659","0.000141872284692697","0.00031569289180649"
"('IN', 'N-fertiliser')","0.004985169917443","0.00496535451092714","0.000267294762122657"
"('WM', 'Construction (45)')","0.00373520920628333","0.000885700226852127","0.00366603537441069"
"('WA', 'Manufacture of office machinery and computers (30)')","0.00379183898841031","0.00141284704387875","0.00373884201855534"
"('CN', 'Mining of iron ores')","0.000350123790278277","0.000348588191323315","6.0157017631054e-06"
"('JP', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')","0.00327291203034263","0.00240192275553859","0.0028722732575041"
"('US', 'Re-processing of secondary steel into new steel')","0.00340502686966525","0.00274581346868364","0.00233165303011256"
"('WA', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')","0.00258128971889966","0.00182303352618734","0.00230683284192461"
"('FR', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.00238671489086628","0.0023186876788246","0.00107231462541435"
"('WA', 'Other land transport')","0.00374148277074981","0.00344609471638153","0.00182268530552774"
"('CH', 'Chemicals nec')","0.00324464426419954","0.00199766097424614","0.00286357214678025"
"('WA', 'Hotels and restaurants (55)')","0.00245940406584964","0.000997873183648678","0.00240041439824457"
"('WA', 'Real estate activities (70)')","0.00162744656520592","0.000832730552826032","0.00162327729801448"
"('RU', 'Petroleum Refinery')","0.00334599492189861","0.0021856658847033","0.00243988591227015"
"('WM', 'P- and other fertiliser')","0.0174025511891737","0.0172110303200838","0.00122608406871922"
"('RU', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.00371164014914641","0.00360123948607192","0.0023503479033869"
"('WA', 'Supporting and auxiliary transport activities; activities of travel agencies (63)')","0.0012256052231484","0.000924262788308689","0.00118895710904094"
"('US', 'Manufacture of furniture; manufacturing n.e.c. (36)')","0.000612981827220191","0.000303659617891269","0.000612397598171913"
"('CN', 'Cattle farming')","0.00360235548391507","0.00316862153857292","0.00121006288226558"
"('DE', 'Other business activities (74)')","0.00342129743446651","0.00299377637662876","0.00339168950257861"
"('ES', 'Mining of lead, zinc and tin ores and concentrates')","0.0034827444240933","0.00347875293503042","8.76742076215779e-06"
"('DK', 'Sea and coastal water transport')","0.00137550058129479","0.000851091944486655","0.000998465729956858"
"('NL', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.00245971502108506","0.00224988876274079","0.000808078493384022"
"('KR', 'Construction (45)')","0.00338290780036729","0.000137266996314207","0.00338274136966617"
"('FR', 'Other business activities (74)')","0.00333568493683706","0.00285614457044461","0.00331554726132826"
"('US', 'Landfill of waste: Textiles')","0.00157258049567809","0.00157224848812685","3.25004712926294e-06"
"('DE', 'Incineration of waste: Food')","0.00293309222193629","0.00289688030864677","0.000138831628299618"
"('WM', 'Petroleum Refinery')","0.00331132355119793","0.00290122880202374","0.00212610118401656"
"('US', 'Processing of meat cattle')","0.00637798237842897","0.00558531610319782","0.00149936593559072"
