"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('CN', 'Manufacture of fabricated metal products, except machinery and equipment (28)')","0.0273197111258404","0.0176745140243071","0.0244834963669553"
"('CN', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')","0.027287911279854","0.0234209143532792","0.0141410847757056"
"('US', 'Transmission of electricity')","0.0271532168447415","0.0271525085593604","0.000286870105420614"
"('CN', 'Manufacture of gas; distribution of gaseous fuels through mains')","0.0263761946534607","0.0262995159933863","0.00107693743534361"
"('US', 'Production of electricity by solar thermal')","0.0256745287408941","0.0256745287007849","1.19447018755344e-06"
"('SE', 'Incineration of waste: Metals and Inert materials')","0.0253603166169837","0.0253458864030198","0.000145309200047894"
"('CN', 'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)')","0.0251541417425907","0.0241241044467029","0.00552325427894117"
"('US', 'Production of electricity by wind')","0.0249755522657205","0.024975142962292","0.000118675212594257"
"('WM', 'Production of electricity by petroleum and other oil derivatives')","0.0243497143956067","0.0243324367284833","0.00027457451875845"
"('CN', 'Wool, silk-worm cocoons')","0.0240696734280334","0.0240694992619755","0.000100305307667874"
"('WM', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.0234475074793607","0.0234418195464554","0.00120144482703831"
"('CN', 'Manufacture of office machinery and computers (30)')","0.0234004920567688","0.0190481234760019","0.0204452885273652"
"('US', 'Inland water transport')","0.0231203292575075","0.0231151860652703","0.000341703488980235"
"('CN', 'Processed rice')","0.0216256359586097","0.0209830472218126","0.00155557056546432"
"('WA', 'Processing vegetable oils and fats')","0.0210954873989826","0.0206259824437752","0.00127393025690914"
"('ES', 'Mining of copper ores and concentrates')","0.0207514463261741","0.0207441966866678","8.74415291285442e-05"
"('WA', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.0207174129103066","0.0207069165053895","0.00118725041417384"
"('WM', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.0206126222852292","0.0203462440358498","0.00581689455850313"
"('US', 'Health and social work (85)')","0.0205411437723269","0.000814495801253596","0.0205411437721537"
"('CN', 'Poultry farming')","0.0202187730144966","0.0192264396425639","0.00407806959664125"
"('IT', 'Incineration of waste: Food')","0.0200475777002742","0.0200382749408568","0.000103126025384066"
"('BE', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')","0.0196466748362933","0.0196371238005131","0.000106512731185045"
"('US', 'Research and development (73)')","0.0195115833898819","0.0148721214416991","0.0134355370289329"
"('WA', 'Production of meat products nec')","0.0192418061958953","0.018587978059171","0.0014205134210304"
"('DE', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.018959494914004","0.0189546474406743","0.00123137324523834"
"('CN', 'Other business activities (74)')","0.0187736316903819","0.0129221884721878","0.0185758179365424"
"('CN', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.0181976706396362","0.0181012591670469","0.00176468949498193"
"('FR', 'Production of electricity by nuclear')","0.0181020138090143","0.017974311399192","0.000562144902235282"
"('US', 'Production of electricity by solar photovoltaic')","0.0175497096520236","0.0175496314822544","4.1512294915276e-05"
"('CN', 'P- and other fertiliser')","0.017493638449046","0.0136033990925963","0.00648209048014052"
"('AU', 'Mining of precious metal ores and concentrates')","0.0173842920340314","0.0173151180067066","0.000194625568524995"
"('ES', 'Mining of lead, zinc and tin ores and concentrates')","0.0173557227042718","0.0173551073126806","1.21305270582623e-05"
"('IT', 'Quarrying of sand and clay')","0.0173492514418386","0.0173276364889052","0.000234560765053691"
"('US', 'Production of electricity nec')","0.0166861867322696","0.0166861866444709","1.50318485809968e-06"
"('US', 'Incineration of waste: Plastic')","0.0165031501637279","0.0165019281428881","5.30798655404005e-05"
"('CN', 'Processing of meat pigs')","0.016472576813776","0.0141970787276099","0.00486850313101305"
"('WM', 'N-fertiliser')","0.0164047005400756","0.0163985455482361","0.000100754097577426"
"('DE', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.0163214813352299","0.0162826300621904","0.000884265189800146"
"('US', 'Transport via railways')","0.0160803558596268","0.0160632981954501","0.000782584727694472"
"('DE', 'Incineration of waste: Plastic')","0.0158370267567433","0.0158306377081742","0.00023255310254189"
"('CN', 'Meat animals nec')","0.0156168365743888","0.0156064716274286","0.000438731631420636"
"('US', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')","0.01515398474122","0.0151406671317205","0.00150476529793394"
"('CN', 'Processing of meat poultry')","0.0150697500443189","0.0142704688273117","0.00252408993757607"
"('TR', 'Quarrying of stone')","0.014971254695695","0.014943675232504","0.000125052642912504"
"('IT', 'Production of electricity by biomass and waste')","0.0144065376526682","0.0144053362344563","4.95387832258621e-05"
"('CN', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')","0.0142092418497561","0.0136817125002901","0.00686221866628954"
"('CN', 'Cultivation of wheat')","0.0138293084800649","0.0137277304817227","0.000830954601953753"
"('CN', 'Animal products nec')","0.0137472096553331","0.013726704525108","0.000186574274767634"
"('CN', 'Education (80)')","0.0135384534753394","0.0125920451328093","0.00534662444388552"
"('WA', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')","0.0131419419484741","0.0130683963921903","0.00199681411340882"
"('NL', 'Renting of machinery and equipment without operator and of personal and household goods (71)')","0.0122767347652826","0.0121900549414556","0.000897328631535489"
"('KR', 'Plastics, basic')","0.0122621731077532","0.0121440303591986","0.00131426243668761"
"('GB', 'Landfill of waste: Textiles')","0.0122060254959446","0.0122048200372233","9.49949841569553e-05"
"('US', 'Plastics, basic')","0.0121304721314883","0.0119048962162727","0.00310021166185808"
